City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
132,montemorelos,25.2,-99.8167,9.400000000000034,92,100,1.37,MX,1674874500
133,lavrentiya,65.5833,-171.0,-10.109999999999957,94,100,5.32,RU,1674875020
134,turochak,52.2576,87.1224,-14.67999999999995,98,94,1.11,RU,1674875021
135,meadow lake,34.8014,-106.5436,2.4399999999999977,46,0,1.44,US,1674874975
136,klaksvik,62.2266,-6.589,5.510000000000048,76,86,13.09,FO,1674875021
137,agadez,19.75,10.25,18.200000000000045,17,100,1.87,NE,1674875022
138,erdenet,49.0333,104.0833,-13.399999999999977,78,84,2.47,MN,1674875023
139,soyo,-6.1349,12.3689,23.450000000000045,91,99,7.0,AO,1674875023
140,innisfail,-17.5333,146.0333,29.610000000000014,69,40,2.61,AU,1674874773
141,kabwe,-14.4469,28.4464,17.960000000000036,99,100,2.83,ZM,1674875024
142,shemgang,27.2169,90.6579,10.670000000000016,69,82,1.08,BT,1674875025
143,xinpu,34.5997,119.1594,2.8000000000000114,26,0,4.49,CN,1674875025
144,ketchikan,55.3422,-131.6461,4.990000000000009,87,100,4.12,US,1674875026
145,ereymentau,51.6199,73.1033,-12.919999999999959,83,5,10.25,KZ,1674875026
146,teguise,29.0605,-13.564,14.120000000000005,72,0,2.57,ES,1674875027
147,broome,42.2506,-75.833,-0.7699999999999818,68,0,4.63,US,1674875027
148,pitimbu,-7.4706,-34.8086,26.33000000000004,77,4,4.57,BR,1674875028
149,thinadhoo,0.5333,72.9333,27.129999999999995,72,12,1.45,MV,1674875028
150,bandarbeyla,9.4942,50.8122,23.58000000000004,75,28,5.64,SO,1674875030
151,beyneu,45.3167,55.2,-3.7299999999999613,62,14,4.25,KZ,1674875030
152,council bluffs,41.2619,-95.8608,-0.5999999999999659,79,0,3.6,US,1674874804
153,codrington,-38.2667,141.9667,25.840000000000032,46,100,3.75,AU,1674875031
154,ilulissat,69.2167,-51.1,-8.989999999999952,53,20,1.03,GL,1674875031
155,nara,34.6851,135.8049,4.980000000000018,42,73,3.49,JP,1674875032
156,mar del plata,-38.0023,-57.5575,21.08000000000004,90,26,3.13,AR,1674875012
157,severomuysk,56.1481,113.4267,-18.609999999999985,94,100,1.91,RU,1674875033
158,spencer,43.1414,-95.1444,-10.25,80,0,2.06,US,1674875017
159,mayumba,-3.432,10.6554,23.25,91,100,3.71,GA,1674875034
160,zabkowice slaskie,50.5897,16.8124,-0.46999999999997044,99,100,2.34,PL,1674875034
161,port augusta,-32.5,137.7667,29.49000000000001,38,100,8.92,AU,1674875035
162,tricase,39.9304,18.3553,8.350000000000023,80,38,6.02,IT,1674875036
163,qaanaaq,77.484,-69.3632,-22.99999999999997,80,52,3.74,GL,1674875036
164,hole narsipur,12.7828,76.2431,18.689999999999998,59,2,2.12,IN,1674875037
165,saint-augustin,51.226,-58.6502,-14.739999999999952,78,77,5.52,CA,1674875037
166,sampit,-2.5333,112.95,30.610000000000014,62,61,1.7,ID,1674875038
167,usinsk,65.9939,57.5281,-8.70999999999998,93,100,6.62,RU,1674875038
